---config@码表分类=主码-次显码表
---config@码表别名= 隐藏全码
簟	dmvu
凋	dndk
牒	dppm
煅	drhy
咚	dskd
垌	dstk
黩	duhd
蠹	duai
怼	dvyx
佚	dpru
哒	dakz
羝	diyd
玓	diwu
𬤊	diyr
𬱖	diyr
𬊤	djhl
𬭊	dujt
咡	erke
姶	eenk
崿	eeek
𥔲	eeuk
愕	eexk
耳	eraa
贰	eryr
厄	eeiv
嗯	enkx
偾	ffrr
茀	fucf
氾	fjdv
㕮	fukx
砆	fuuf
𫓧	fujf
垺	futz
蚄	fhif
浲	fgdf
䓛	fuci
𣸣	ffdr
𫔍	fjjt
法	fads
阀	famg
吩	ffkd
粉	ffmd
冯	fgdm
蜂	fgif
放	fhfw
妨	fhnf
肪	fhof
仿	fhrf
访	fhyf
烦	fjhr
贩	fjky
翻	fjpx
矾	fjuf
副	fuad
夫	fuan
富	fubt
扶	fuff
敷	fufw
辅	fuif
脯	fuof
付	furc
俯	furc
弗	fuvl
驸	fumc
匪	fwkf
榧	fwmf
妃	fwnj
诽	fwyf
纷	ffsd
赋	fukv
汾	ffdd
玢	ffwd
彷	fhif
枋	fhmf
舫	fhvf
钒	fjjf
樊	fjmd
梵	fjmf
蜉	fuiz
讣	fuyb
跗	fuzc
痱	fwbf
唪	fgkl
𬸪	fjpn
榖	guuy
饹	geuk
馃	goug
蛄	guik
牿	gunk
嘏	guuy
䢼	gsce
姽	gvnv
珖	glww
唝	gskr
䓛	guci
馉	guuo
廆	gvgg
筦	grve
雊	gzbf
㽏	gjdg
镐	gcjk
羔	gcyh
盖	gdym
歌	gedr
格	gemk
阁	gemk
缸	ghfg
杆	gjmg
肝	gjog
赶	gjtg
敢	gjvw
锅	gojn
过	gozc
官	grbk
罐	grff
棺	grmk
贡	gsgr
汞	gsgu
躬	gsug
谷	gubk
沽	gudk
固	gukk
姑	gunk
股	guoy
鼓	guuy
贾	guxr
龟	gvdv
归	gvle
桂	gvmt
诡	gvyv
跪	gvzv
句	gzbk
钢	ghjx
槁	gcmk
篙	gcvk
庚	gggn
淦	gjdj
莞	grce
龚	gslb
觚	gudg
钴	gujk
诂	guyk
庋	gvgy
癸	gvvt
剐	gxkd
栝	gxmk
磙	gyuy
枸	gzmk
疳	gjbg
筻	ghvg
馘	goba
蜾	goig
哕	hvkx
翃	hsux
竑	hsls
縠	huuy
翚	hvxi
鞨	hegv
冱	hudh
扞	hjfg
烠	hvho
浛	hjdk
㿠	hlbw
翙	hvex
镮	hrjy
咍	hdkk
瑝	hlww
漷	hode
锽	hljw
熇	hehk
皞	hcbu
艎	hlvw
𨱑	hljb
濩	hudy
翯	hexk
耗	hclm
豪	hcwu
害	hdbk
荷	heck
河	hedk
核	hemr
合	herk
行	hhii
杭	hhmj
航	hhvj
捍	hjfg
旱	hjog
徊	hkik
皇	hlbw
蝗	hliw
凰	hljw
恍	hlxw
豁	hobk
惑	hogx
涣	hrdd
缓	hrsy
欢	hryr
沪	hudh
户	hudu
护	hufh
虎	huhj
胡	huuo
汇	hvdk
秽	hvhx
会	hvrs
灰	hvuh
悔	hvxm
滑	hxdg
划	hxgd
桦	hxmu
候	hzru
嗬	hekk
濠	hcdu
嚆	hckk
嗥	hcku
骸	hdgr
涸	hedk
诃	heyk
蚶	hjig
湟	hldw
崡	hjek
邯	hjge
隍	hlew
奂	hrdd
豢	hrju
蕻	hscb
泓	hsds
斛	hudu
烀	huhh
觳	huuy
怙	huxk
浍	hvds
烩	hvhs
珲	hvwi
铧	hxju
骅	hxmu
珲	hywi
瘊	hzbu
逅	hzzk
锪	hojx
黉	hsxb
𬌗	heyk
𬤝	hvyx
杻	izmi
𥻗	iamd
樗	iumk
翀	isxv
珵	igww
惙	ivxy
椆	izmk
梴	ijmz
刬	ijjd
棽	ifmv
摏	isfj
漦	iiwu
蹅	iazd
榇	ifmm
斶	iuji
襜	ijpk
插	iafj
喳	iakd
查	iamd
抄	icfu
炒	ichu
绰	icsu
超	ictk
撤	iefw
撑	igfu
诚	igyi
池	iidy
侈	iirx
齿	iivk
迟	iizi
铲	ijji
闯	ilmm
喘	irke
充	iswe
穿	irby
触	iudi
锄	iujl
初	iupd
础	iuui
醇	iyyz
愁	izhx
畴	iztc
赤	iitd
镲	iajx
碴	iaud
耖	iclu
钗	idji
砗	ieui
抻	iffu
瞠	igot
苌	ihci
徜	ihik
氅	ihxm
茌	iicu
鸱	iidn
蚩	iivi
潺	ijdz
谄	ijyj
踔	iozu
氚	irqi
舂	isfj
种	ishv
艟	isvl
憧	isxl
蜍	iuih
楮	iumo
绌	iusi
怵	iuxu
雠	izrf
槌	ivmz
怊	icxk
铖	igji
浐	ijdi
𬬮	ihji
𬊤	ijhl
浕	jbdd
蒟	juck
龟	jydv
鋆	jytj
颎	jsbr
蒺	jicu
殛	jida
剞	jidd
锩	jrjv
桕	jqmj
僬	jnrh
楗	jmmz
伋	jirj
岊	jpbe
𫘝	jtmn
枅	jimk
泇	jxdk
垍	jitz
秬	juhj
恔	jnxx
姞	jink
𪟝	jifl
埆	jtty
竫	jkll
𫓶	jrjo
枸	jumk
椐	jumk
矞	jtsk
蜐	jpil
𫓹	jijb
滘	jndk
𫖳	jyyr
耤	jilo
瑨	jbwo
斠	jnju
漖	jndw
嶲	jrev
觭	jidk
鹡	jidn
㵐	jtdr
褯	jppj
璥	jkww
穄	jihx
篯	jmvj
