---config@码表分类=主码-次显码表
---config@码表别名= 隐藏全码
格	gemk#序13582
阁	gemk#序13581
饹	geuk#序13601
庚	gggn#序13551
缸	ghfg#序13580
钢	ghjx#序13554
筻	ghvg#序13537
疳	gjbg#序13538
㽏	gjdg#序13587
淦	gjdj#序13550
杆	gjmg#序13579
肝	gjog#序13578
赶	gjtg#序13577
敢	gjvw#序13576
珖	glww#序13594
馘	goba#序13536
蜾	goig#序13535
锅	gojn#序13575
馃	goug#序13600
过	gozc#序13574
官	grbk#序13573
莞	grce#序13549
罐	grff#序13572
棺	grmk#序13571
筦	grve#序13589
䢼	gsce#序13596
贡	gsgr#序13570
汞	gsgu#序13569
唝	gskr#序13593
龚	gslb#序13548
躬	gsug#序13568
谷	gubk#序13567
䓛	guci#序13592
觚	gudg#序13547
沽	gudk#序13566
蛄	guik#序13599
钴	gujk#序13546
固	gukk#序13565
姑	gunk#序13564
牿	gunk#序13598
股	guoy#序13563
馉	guuo#序13591
嘏	guuy#序13597
榖	guuy#序13602
鼓	guuy#序13562
贾	guxr#序13561
诂	guyk#序13545
龟	gvdv#序13560
廆	gvgg#序13590
庋	gvgy#序13544
归	gvle#序13559
桂	gvmt#序13558
姽	gvnv#序13595
癸	gvvt#序13543
诡	gvyv#序13557
跪	gvzv#序13556
剐	gxkd#序13542
栝	gxmk#序13541
磙	gyuy#序13540
雊	gzbf#序13588
句	gzbk#序13555
枸	gzmk#序13539
皞	hcbu#序13248
濠	hcdu#序13206
嚆	hckk#序13205
嗥	hcku#序13204
耗	hclm#序13243
豪	hcwu#序13242
害	hdbk#序13241
骸	hdgr#序13203
荷	heck#序13240
河	hedk#序13239
涸	hedk#序13202
鞨	hegv#序13259
熇	hehk#序13249
嗬	hekk#序13207
核	hemr#序13238
合	herk#序13237
翯	hexk#序13244
诃	heyk#序13201
行	hhii#序13236
杭	hhmj#序13235
航	hhvj#序13234
浛	hjdk#序13255
崡	hjek#序13198
扞	hjfg#序13257
捍	hjfg#序13233
邯	hjge#序13197
蚶	hjig#序13200
旱	hjog#序13232
徊	hkik#序13231
㿠	hlbw#序13254
皇	hlbw#序13230
湟	hldw#序13199
隍	hlew#序13196
蝗	hliw#序13229
𨱑	hljb#序13246
凰	hljw#序13228
锽	hljw#序13250
艎	hlvw#序13247
瑝	hlww#序13252
恍	hlxw#序13227
豁	hobk#序13226
漷	hode#序13251
惑	hogx#序13225
锪	hojx#序13179
奂	hrdd#序13195
涣	hrdd#序13224
豢	hrju#序13194
缓	hrsy#序13223
欢	hryr#序13222
蕻	hscb#序13193
泓	hsds#序13192
竑	hsls#序13262
翃	hsux#序13263
黉	hsxb#序13178
冱	hudh#序13258
沪	hudh#序13221
户	hudu#序13220
斛	hudu#序13191
濩	hudy#序13245
护	hufh#序13219
烀	huhh#序13190
虎	huhj#序13218
胡	huuo#序13217
縠	huuy#序13261
觳	huuy#序13189
怙	huxk#序13188
汇	hvdk#序13216
浍	hvds#序13187
翙	hvex#序13253
烠	hvho#序13256
烩	hvhs#序13186
秽	hvhx#序13215
哕	hvkx#序13264
会	hvrs#序13214
灰	hvuh#序13213
珲	hvwi#序13185
翚	hvxi#序13260
悔	hvxm#序13212
滑	hxdg#序13211
划	hxgd#序13210
铧	hxju#序13184
桦	hxmu#序13209
骅	hxmu#序13183
珲	hywi#序13182
瘊	hzbu#序13181
候	hzru#序13208
逅	hzzk#序13180
插	iafj#序13929
镲	iajx#序13902
喳	iakd#序13928
查	iamd#序13927
𥻗	iamd#序13941
碴	iaud#序13901
蹅	iazd#序13933
抄	icfu#序13926
炒	ichu#序13925
耖	iclu#序13900
绰	icsu#序13924
超	ictk#序13923
怊	icxk#序13875
钗	idji#序13899
撤	iefw#序13922
砗	ieui#序13898
抻	iffu#序13897
榇	ifmm#序13932
撑	igfu#序13921
铖	igji#序13874
瞠	igot#序13896
珵	igww#序13938
诚	igyi#序13920
苌	ihci#序13895
徜	ihik#序13894
氅	ihxm#序13893
茌	iicu#序13892
鸱	iidn#序13891
池	iidy#序13919
侈	iirx#序13918
赤	iitd#序13903
蚩	iivi#序13890
齿	iivk#序13917
漦	iiwu#序13934
迟	iizi#序13916
浐	ijdi#序13873
潺	ijdz#序13889
铲	ijji#序13915
襜	ijpk#序13930
谄	ijyj#序13888
闯	ilmm#序13914
踔	iozu#序13887
穿	irby#序13911
喘	irke#序13913
氚	irqi#序13886
摏	isfj#序13935
舂	isfj#序13885
种	ishv#序13884
艟	isvl#序13883
充	iswe#序13912
憧	isxl#序13882
翀	isxv#序13939
触	iudi#序13910
蜍	iuih#序13881
斶	iuji#序13931
锄	iujl#序13909
樗	iumk#序13940
楮	iumo#序13880
初	iupd#序13908
绌	iusi#序13879
础	iuui#序13907
怵	iuxu#序13878
槌	ivmz#序13876
惙	ivxy#序13937
醇	iyyz#序13906
愁	izhx#序13905
杻	izmi#序13942
椆	izmk#序13936
雠	izrf#序13877
畴	iztc#序13904
浕	jbdd#序12983
津	jbdy#序12935
尽	jbid#序12934
赆	jbkd#序12802
巾	jbll#序12933
妗	jbnv#序12838
缙	jbso#序12837
矜	jbsv#序12836
劲	jbvl#序12932
瑨	jbwo#序12952
谨	jbya#序12931
近	jbzj#序12930
击	jiak#序12929
寄	jibk#序12928
蓟	jicd#序12830
藉	jico#序12927
蒺	jicu#序12978
芰	jicy#序12801
殛	jida#序12977
剞	jidd#序12976
瀱	jidd#序12936
奇	jidk#序12925
觭	jidk#序12948
鹡	jidn#序12947
急	jidx#序12926
觊	jiee#序12835
𪟝	jifl#序12962
即	jige#序12924
嵇	jihe#序12834
稽	jiho#序12923
穄	jihx#序12943
辑	jiie#序12913
𫓹	jijb#序12956
忌	jijx#序12922
唧	jike#序12921
冀	jilb#序12920
耤	jilo#序12953
乩	jilv#序12833
骥	jimb#序12832
机	jimj#序12919
枅	jimk#序12968
姞	jink#序12963
嫉	jinu#序12918
及	jipn#序12917
系	jipx#序12916
伋	jirj#序12971
级	jisj#序12915
继	jisv#序12914
圾	jitj#序12912
垍	jitz#序12966
戟	jiug#序12831
笈	jivj#序12829
己	jivv#序12911
玑	jiwj#序12828
记	jiyj#序12910
计	jiyu#序12909
迹	jizd#序12908
荆	jkcd#序12907
径	jkig#序12906
竟	jkle#序12905
竫	jkll#序12960
靖	jklo#序12904
精	jkmo#序12903
晶	jkoo#序12902
腈	jkoo#序12827
兢	jkue#序12901
劲	jkvl#序12900
璥	jkww#序12944
京	jkwx#序12899
惊	jkxx#序12898
憬	jkxx#序12826
迳	jkzg#序12800
将	jldc#序12897
讲	jlyj#序12896
柬	jman#序12825
煎	jmbh#序12895
謇	jmbk#序12824
兼	jmbn#序12894
渐	jmdj#序12893
减	jmdk#序12892
捡	jmfa#序12891
肩	jmho#序12890
见	jmke#序12889
坚	jmlt#序12888
检	jmma#序12887
槛	jmmm#序12886
间	jmmo#序12885
楗	jmmz#序12972
件	jmrn#序12884
僭	jmro#序12823
笕	jmve#序12822
篯	jmvj#序12942
戬	jmyg#序12821
谏	jmyj#序12820
敫	jnbw#序12819
皦	jnbw#序12937
蕉	jnch#序12883
滘	jndk#序12955
漖	jndw#序12950
峤	jnel#序12818
燋	jnhh#序12941
较	jnix#序12882
斠	jnju#序12951
铰	jnjx#序12817
叫	jnkl#序12881
娇	jnnl#序12880
僬	jnrh#序12973
焦	jnrh#序12879
礁	jnuh#序12878
璬	jnww#序12939
恔	jnxx#序12964
醮	jnyh#序12816
酵	jnyz#序12877
岊	jpbe#序12970
洁	jpdk#序12875
接	jpfn#序12876
戒	jpgc#序12874
骱	jpgl#序12799
秸	jphk#序12873
街	jpii#序12872
蜐	jpil#序12957
竭	jplv#序12871
褯	jppj#序12945
价	jprl#序12870
界	jptl#序12869
桀	jpxm#序12815
诫	jpyc#序12868
诘	jpyk#序12814
疚	jqbj#序12866
究	jqbj#序12867
舅	jqjl#序12865
桕	jqmj#序12974
玖	jqwj#序12864
嶲	jrev#序12949
𫓶	jrjo#序12959
卷	jrjv#序12863
锩	jrjv#序12975
颎	jsbr#序12979
炯	jshk#序12813
炅	jsoh#序12839
决	jtdg#序12862
决	jtdn#序12861
㵐	jtdr#序12946
爝	jthc#序12812
𫔎	jtjk#序12938
𫘝	jtmn#序12969
绝	jtsb#序12860
矞	jtsk#序12958
埆	jtty#序12961
砄	jtug#序12857
玦	jtwg#序12858
诀	jtyn#序12859
苣	jucj#序12811
蒟	juck#序12982
澽	judu#序12940
拒	jufj#序12856
据	jufk#序12855
秬	juhj#序12965
飓	jujb#序12810
锯	jujk#序12854
椐	jumk#序12984
橘	jumk#序12852
驹	jumk#序12853
局	juuk#序12851
琚	juwk#序12809
惧	juxb#序12850
举	juxl#序12849
醵	juyu#序12798
距	juzj#序12848
遽	juzu#序12808
泇	jxdk#序12967
稼	jxhu#序12847
蛱	jxij#序12807
钾	jxjj#序12846
镓	jxju#序12806
加	jxlk#序12845
架	jxlm#序12844
枷	jxmk#序12805
嫁	jxnu#序12843
假	jxry#序12842
迦	jxzk#序12804
龟	jydv#序12981
麇	jygh#序12803
骏	jymw#序12841
鋆	jytj#序12980
君	jyyk#序12840
𫖳	jyyr#序12954
咖	kakk#序14668
咯	kakk#序14651
考	kclv#序14667
尻	kcuj#序14650
炌	kdhl#序14672
闿	kdmj#序14674
垲	kdtj#序14641
客	kebk#序14666
渴	kedv#序14665
颗	kegr#序14664
科	kehu#序14663
铪	kejk#序14649
匼	kekk#序14673
坷	ketk#序14662
刻	kewd#序14661
恪	kexk#序14648
坑	kgtj#序14654
硁	kgug#序14670
炕	khhj#序14660
会	kkrs#序14658
贶	klke#序14647
匡	klkw#序14646
诳	klyw#序14675
阔	komk#序14655
矼	ksug#序14652
窟	kubi#序14653
刳	kudd#序14645
枯	kumk#序14657
喾	kuxk#序14644
馗	kvjz#序14659
睽	kvot#序14643
𫠆	kvur#序14671
逵	kvzt#序14642
叩	kzke#序14656
竘	kzlk#序14669
喇	lakd#序13319
辚	lbil#序13261
林	lbmm#序13264
翷	lbmx#序13322
瞵	lbol#序13231
乐	lcpd#序13263
酪	lcyk#序13318
铼	ldjl#序13260
嘞	lekl#序13259
簕	levl#序13323
冷	lgds#序13317
楞	lgmf#序13230
莨	lhcl#序13258
桹	lhml#序13330
鲡	lial#序13343
痢	libd#序13316
莉	licd#序13315
蓠	licd#序13345
苈	licl#序13342
荔	licl#序13314
浰	lidd#序13332
漓	lidd#序13313
浬	lidl#序13333
凓	lidm#序13328
利	lihd#序13312
历	liil#序13311
厘	liil#序13310
轹	liil#序13228
锂	lijl#序13257
呖	likl#序13341
哩	likl#序13309
郦	lile#序13256
鹂	liln#序13255
朸	liml#序13339
枥	liml#序13254
骊	liml#序13253
例	lird#序13308
俚	lirl#序13252
砾	liul#序13307
蠡	livi#序13251
璃	liwd#序13305
离	liwd#序13306
珕	liwl#序13336
悝	lixl#序13348
栗	lixm#序13304
逦	lizl#序13250
漤	ljdn#序13249
览	ljle#序13303
褴	ljpm#序13248
缆	ljse#序13302
泠	lkds#序13247
澪	lkds#序13324
岭	lkes#序13301
崚	lkew#序13347
呤	lkks#序13246
囹	lkks#序13245
令	lkrs#序13299
坽	lkts#序13338
龄	lkvs#序13300
羚	lkys#序13297
零	lkys#序13298
梁	lldm#序13296
粱	lldm#序13295
魉	llgl#序13244
俩	llrl#序13294
倞	llrx#序13334
墚	lltm#序13227
亮	llwj#序13293
悢	llxl#序13331
谅	llyx#序13292
帘	lmbj#序13291
殓	lmda#序13243
练	lmsd#序13290
连	lmzi#序13289
疗	lnbl#序13288
潦	lndx#序13262
髎	lngp#序13321
憭	lnxx#序13325
洛	lodk#序13287
骡	lomx#序13286
蠃	lowf#序13340
雒	lowf#序13242
鬣	lpav#序13229
列	lpdd#序13285
咧	lpkd#序13284
躐	lpzv#序13241
镏	lqjt#序13239
骝	lqmt#序13240
碌	lquu#序13283
硫	lquv#序13282
鹨	lqxn#序13226
鸾	lrwn#序13238
窿	lsbu#序13281
聋	lsle#序13320
昽	lsol#序13337
胧	lsol#序13279
龙	lsud#序13280
芦	luch#序13278
泸	ludu#序13237
轳	luiu#序13236
赂	lukk#序13277
橹	lumo#序13235
𫘧	lumu#序13329
绿	lusu#序13276
垆	lutu#序13234
碌	luuu#序13275
簏	luvb#序13273
录	luvu#序13274
箓	luvu#序13346
舻	luvu#序13344
勠	luxl#序13326
露	luyk#序13272
虑	lvhx#序13271
铝	lvjk#序13270
梠	lvmk#序13335
蕾	lwct#序13269
勒	lwgl#序13268
嘞	lwkl#序13233
伦	lyrb#序13267
溇	lzdn#序13327
漏	lzdy#序13266
娄	lzmn#序13265
偻	lzrn#序13232
吗	makm#序13946
嘛	makm#序13945
马	mava#序13944
蝥	mcsi#序13916
蟊	mcsi#序13953
貌	mcve#序13943
荬	mdcd#序13915
鹲	mgcn#序13954
萌	mgco#序13942
锰	mgjm#序13941
艨	mgvu#序13914
茫	mhcw#序13940
忙	mhxw#序13918
米	midm#序13939
麋	migm#序13913
弥	migx#序13938
眯	miom#序13937
醾	miym#序13948
谜	miyz#序13936
鳗	mjay#序13902
幔	mjjy#序13912
缦	mjsy#序13911
铭	mkjk#序13935
名	mkxk#序13934
沔	mmdm#序13910
免	mmdv#序13933
沔	mmdv#序13909
眄	mmom#序13907
眠	mmom#序13932
眄	mmov#序13908
愐	mmxm#序13950
庙	mngy#序13947
秒	mnhu#序13917
淼	mnuu#序13903
寞	mobd#序13931
瘼	mobd#序13952
藦	mocu#序13949
蘑	mocu#序13930
漠	modd#序13929
没	mody#序13928
靺	mogm#序13955
摩	mogu#序13926
磨	mogu#序13927
耱	molu#序13906
嬷	monm#序13905
苜	muco#序13904
姆	munm#序13925
渼	mwdd#序13951
魅	mwgw#序13924
枚	mwmw#序13923
媒	mwnm#序13922
每	mwpm#序13921
郿	mwve#序13956
玫	mwww#序13920
霉	mwym#序13919
钠	najn#序14862
哪	nake#序14861
拿	naru#序14860
那	nave#序14859
佴	ndre#序14852
南	njug#序14858
娘	nlnl#序14857
撵	nmfi#序14856
糵	npcm#序14863
妞	nqni#序14853
狃	nqqi#序14851
农	nsdn#序14855
帑	nunj#序14864
哪	nwke#序14854
呕	oukx#序16306
爬	pavb#序14753
舥	pavb#序14758
嫔	pbnb#序14730
匏	pcds#序14729
泡	pcds#序14752
炮	pchs#序14751
咆	pcks#序14728
俳	pdrf#序14727
簰	pdvu#序14756
澎	pgdp#序14749
彭	pgup#序14750
庞	phgl#序14748
螃	phif#序14747
淠	pidl#序14731
啤	piku#序14746
脾	piou#序14745
郫	pipe#序14726
僻	piru#序14744
坯	pita#序14743
屁	piub#序14742
嚭	piuk#序14755
鼙	piuu#序14761
皮	pivy#序14741
盘	pjvm#序14740
瓶	pkbw#序14739
萍	pkcp#序14738
洴	pkdk#序14722
冯	pkdm#序14760
帡	pkjk#序14759
俜	pkrv#序14721
谝	pmyc#序14725
票	pnxx#序14737
钋	pojb#序14724
粕	pomb#序14723
葡	pucf#序14736
蒱	pucf#序14757
铺	pujf#序14734
曝	puou#序14732
埔	putf#序14735
沛	pwdl#序14733
配	pwyj#序14754
嵚	qber#序14016
吣	qbkx#序13978
亲	qblm#序14008
勤	qbnl#序13980
侵	qbry#序14007
矜	qbsv#序13979
芑	qicj#序13976
蕲	qicj#序13977
觭	qidk#序14011
柒	qidm#序14006
洓	qidn#序14021
汔	qidq#序14036
欹	qidr#序14027
漆	qidu#序14005
岂	qiej#序14004
启	qihk#序14003
蛴	qiil#序13975
啐	qiku#序14020
耆	qilo#序13974
棋	qimb#序14002
桤	qimj#序14029
骑	qimk#序14001
槭	qimx#序14030
祈	qipj#序14000
祇	qipu#序14033
气	qipv#序13998
欺	qiqr#序13997
憩	qiqx#序13973
俟	qiru#序13960
起	qitj#序13996
埼	qitk#序14018
砌	qiud#序13999
玘	qiwj#序14025
恓	qixx#序14034
蹊	qizd#序13972
庼	qkgr#序14017
綮	qkhx#序13971
黥	qkhx#序13970
轻	qkig#序13995
磬	qkuu#序13969
勍	qkwl#序14019
镪	qlji#序13968
矼	qlug#序14023
骞	qmbm#序13967
褰	qmby#序14031
浅	qmdj#序13994
汧	qmdk#序14024
鹐	qmdn#序14032
黔	qmhv#序13993
铅	qmjk#序13992
慊	qmxn#序13966
窍	qnbv#序13991
愀	qnxh#序14028
切	qpqd#序13990
慊	qpxn#序13965
龟	qqdv#序14035
秋	qqhh#序13989
蚯	qqiq#序13988
𨱇	qqjq#序14015
巯	qqvv#序13964
泉	qrbu#序13987
拳	qrju#序13986
佺	qrrw#序14022
瑔	qrwu#序14013
瘸	qtbr#序13985
汋	qtdu#序14026
傕	qtrf#序14014
碏	qtuo#序14012
渠	qudm#序13984
蛆	quiq#序13963
鼩	qujk#序14010
驱	qumx#序13983
祛	qups#序14009
去	quts#序13982
屈	quui#序13981
璩	quwu#序13962
诎	quyi#序13961
刃	rfdd#序15141
任	rfrr#序15140
纴	rfsr#序15143
认	rfyr#序15139
讱	rfyr#序15142
壤	rhty#序15138
染	rjdm#序15137
铷	rujk#序15136
颥	ruyr#序15134
糅	rzmm#序15135
溞	scdi#序14890
洓	sedn#序14892
瑟	sewb#序14878
厮	siij#序14877
锶	sijx#序14876
飔	sijx#序14889
嘶	sikj#序14887
咝	siks#序14886
耜	silk#序14875
司	sivk#序14885
凇	ssds#序14893
淞	ssds#序14874
讼	ssys#序14884
涑	sudu#序14873
觫	sudu#序14872
𫗧	suuu#序14891
酥	suyh#序14883
随	svez#序14882
燧	svhz#序14871
穟	svhz#序14888
尿	svuu#序14881
碎	svuu#序14880
