---config@码表分类=主码-1
---config@码表别名= 符号编码
．	ofbd#序16186
：	ofbd#序16181
；	ofbd#序16182
？	ofbd#序16180
［］	ofbd#序16188
｀	ofbd#序16166
｛｝	ofbd#序16187
｜	ofbd#序16165
～	ofbd#序16171
⒈	ofdu#序16084
⒉	ofdu#序16083
⒊	ofdu#序16082
⒋	ofdu#序16081
⒌	ofdu#序16080
⒍	ofdu#序16079
⒎	ofdu#序16078
⒏	ofdu#序16077
⒐	ofdu#序16076
⒑	ofdu#序16075
⒒	ofdu#序16074
⒓	ofdu#序16073
⒔	ofdu#序16072
⒕	ofdu#序16071
⒖	ofdu#序16070
⒗	ofdu#序16069
⒘	ofdu#序16068
⒙	ofdu#序16067
⒚	ofdu#序16066
⒛	ofdu#序16065
nm	ofdw#序16158
μg	ofdw#序16156
μm	ofdw#序16157
㎎	ofdw#序16164
㎏	ofdw#序16163
㎜	ofdw#序16162
㎝	ofdw#序16161
㎞	ofdw#序16160
㎡	ofdw#序16159
㏄	ofdw#序16155
㏎	ofdw#序16154
㏑	ofdw#序16153
㏒	ofdw#序16152
㏕	ofdw#序16151
Ё	ofed#序16118
А	ofed#序16150
Б	ofed#序16149
В	ofed#序16148
Г	ofed#序16147
Д	ofed#序16146
Е	ofed#序16145
Ж	ofed#序16144
З	ofed#序16143
И	ofed#序16142
Й	ofed#序16141
К	ofed#序16140
Л	ofed#序16139
М	ofed#序16138
Н	ofed#序16137
О	ofed#序16136
П	ofed#序16135
Р	ofed#序16134
С	ofed#序16133
Т	ofed#序16132
У	ofed#序16131
Ф	ofed#序16130
Х	ofed#序16129
Ц	ofed#序16128
Ч	ofed#序16127
Ш	ofed#序16126
Щ	ofed#序16125
Ъ	ofed#序16124
Ы	ofed#序16123
Ь	ofed#序16122
Э	ofed#序16121
Ю	ofed#序16120
Я	ofed#序16119
а	ofex#序16117
б	ofex#序16116
в	ofex#序16115
г	ofex#序16114
д	ofex#序16113
е	ofex#序16112
ж	ofex#序16111
з	ofex#序16110
и	ofex#序16109
й	ofex#序16108
к	ofex#序16107
л	ofex#序16106
м	ofex#序16105
н	ofex#序16104
о	ofex#序16103
п	ofex#序16102
р	ofex#序16101
с	ofex#序16100
т	ofex#序16099
у	ofex#序16098
ф	ofex#序16097
х	ofex#序16096
ц	ofex#序16095
ч	ofex#序16094
ш	ofex#序16093
щ	ofex#序16092
ъ	ofex#序16091
ы	ofex#序16090
ь	ofex#序16089
э	ofex#序16088
ю	ofex#序16087
я	ofex#序16086
ё	ofex#序16085
¤	ofhb#序16039
€	ofhb#序16044
＄	ofhb#序16043
￠	ofhb#序16042
￡	ofhb#序16041
￥	ofhb#序16040
←	ofjt#序15949
↑	ofjt#序15947
→	ofjt#序15948
↓	ofjt#序15946
↔	ofjt#序15941
↕	ofjt#序15940
↖	ofjt#序15942
↗	ofjt#序15945
↘	ofjt#序15943
↙	ofjt#序15944
⑴	ofku#序16064
⑵	ofku#序16063
⑶	ofku#序16062
⑷	ofku#序16061
⑸	ofku#序16060
⑹	ofku#序16059
⑺	ofku#序16058
⑻	ofku#序16057
⑼	ofku#序16056
⑽	ofku#序16055
⑾	ofku#序16054
⑿	ofku#序16053
⒀	ofku#序16052
⒁	ofku#序16051
⒂	ofku#序16050
⒃	ofku#序16049
⒄	ofku#序16048
⒅	ofku#序16047
⒆	ofku#序16046
⒇	ofku#序16045
Ⅰ	ofld#序15785
Ⅱ	ofld#序15784
Ⅲ	ofld#序15783
Ⅳ	ofld#序15782
Ⅴ	ofld#序15781
Ⅵ	ofld#序15780
Ⅶ	ofld#序15779
Ⅷ	ofld#序15778
Ⅸ	ofld#序15777
Ⅹ	ofld#序15776
Ⅺ	ofld#序15775
Ⅻ	ofld#序15774
ⅰ	oflx#序15773
ⅱ	oflx#序15772
ⅲ	oflx#序15771
ⅳ	oflx#序15770
ⅴ	oflx#序15769
ⅵ	oflx#序15768
ⅶ	oflx#序15767
ⅷ	oflx#序15766
ⅸ	oflx#序15765
ⅹ	oflx#序15764
丨	ofpp#序15842
丬	ofpp#序15812
丶	ofpp#序15813
丿	ofpp#序15832
亠	ofpp#序15821
亻	ofpp#序15828
冂	ofpp#序15837
冖	ofpp#序15836
冫	ofpp#序15850
凵	ofpp#序15830
刂	ofpp#序15846
勹	ofpp#序15852
匚	ofpp#序15845
卩	ofpp#序15839
囗	ofpp#序15820
夂	ofpp#序15814
宀	ofpp#序15835
尢	ofpp#序15815
屮	ofpp#序15848
廴	ofpp#序15816
廾	ofpp#序15843
彐	ofpp#序15840
彡	ofpp#序15827
忄	ofpp#序15819
